,Sample_Size,Pct_HeartDisease,Pct_HeartAttack,Pct_Stroke,Pct_Asthma,Pct_Diabetes,Pct_COPD,Pct_Depression,Pct_KidneyDisease,Pct_Arthritis,Pct_HighBP,Pct_HighChol,Pct_Smoker,Pct_HeavyDrinker,Pct_PhysicalActivity,Pct_Obesity,Pct_AnyHealthcare,Avg_BMI,Avg_Age,Avg_TotalUnhealthyDays,Avg_SleepHours,Avg_MultiMorbidity_Index,Avg_CardioRisk_Score,Avg_LifestyleRisk_Score,Avg_HealthcareAccess_Score,Avg_HealthyDiet_Score,BMI_Variance,Diabetes_HighBP_Correlation,State_Avg_AQI,State_Max_AQI,State_Unhealthy_Days_Pct,State_AQI_Severity,Asthma_AQI_Interaction,COPD_AQI_Interaction,Cardio_Environmental_Risk,Pct_Diabetes_norm,Pct_HighBP_norm,State_Unhealthy_Days_Pct_norm,SocioEnvironmental_Vulnerability
Sample_Size,1.0,-0.016475323528331733,-0.07698598743104687,-0.2535915691124848,0.06897345643910603,-0.2946473699642602,-0.0956829191028801,0.09812954202198086,0.020107854366070245,-0.027217629508428563,0.25012905659204837,-0.11872985403638399,0.09207858822506892,-0.21469702613864725,0.27388395988787073,0.011883061625555105,,-0.12231549839952444,0.04335557481250956,-0.2738617108352429,,-0.06835744075155846,0.10363902297950621,-0.24032527354472555,,,-0.1016019685286891,0.32265560527837744,-0.05947204438625579,0.27278732732011585,0.1342816836404503,-0.03811430851110333,-0.05929724594402205,-0.2678538528074501,-0.20900865726022783,-0.29464736996426016,0.25012905659204865,0.13428168364045032,-0.01950582332020643
Pct_HeartDisease,-0.016475323528331733,1.0,0.8964940005525542,0.6784317407394512,0.08309836407840022,0.6340598436304342,0.8551920003682737,0.3912136272660124,0.764566882369315,0.8436773604297623,-0.7524394722343342,0.6867718382387896,-0.5543722443664737,0.14020840181915864,-0.49872829180799505,-0.5090761980928,,0.5887724297671993,0.5078055175320166,0.4160284956606853,,0.875082908166158,-0.3187276901287195,0.2113948123521521,,,0.5540438388459632,-0.08904645153722378,0.2827326788665854,-0.15894228577660793,-0.2165622530824738,0.05331083675924302,0.2208849579126411,0.8060995051730039,0.8087776530890642,0.6340598436304345,-0.7524394722343346,-0.2165622530824738,-0.23736331686259374
Pct_HeartAttack,-0.07698598743104687,0.8964940005525542,1.0,0.6962076963032023,0.09855039898181685,0.5638446137108584,0.885700251719549,0.4616109132847776,0.7469116873023738,0.8590023620190191,-0.6649934066030445,0.5468881081243646,-0.588812559572944,0.2148328428106056,-0.3964385643039172,-0.44963090763501995,,0.5411978123427704,0.5160537846221234,0.3771981388358135,,0.8898305995468394,-0.4518595199294079,0.1378260977886108,,,0.4970686192942637,-0.06541181497212561,0.04654957172771705,-0.24494007026545925,-0.27037655441905206,-0.13749662658179754,0.07745289122982535,0.7185205455566536,0.6529869087877196,0.5638446137108578,-0.6649934066030446,-0.2703765544190521,-0.2687560465769829
Pct_Stroke,-0.2535915691124848,0.6784317407394512,0.6962076963032023,1.0,-0.16177482049486672,0.7049754407822849,0.7162234941147099,0.24990884184976075,0.6075921165692088,0.7155364135930887,-0.8011408808148545,0.5980493842174887,-0.5209097150446831,0.07469633327752324,-0.30481551628783565,-0.36473446536515075,,0.5064227710545068,0.45984275347423914,0.27502151583416146,,0.7260879250444792,-0.4483414560270502,0.052986932082268505,,,0.5758932415298585,-0.3139105833458568,0.19550678493356885,-0.3176927543574723,-0.3048790763038983,0.006762012632025488,0.15261715696312153,0.7618538868828032,0.7773997364109356,0.704975440782285,-0.801140880814855,-0.3048790763038985,-0.2757564111390502
Pct_Asthma,0.06897345643910603,0.08309836407840022,0.09855039898181685,-0.16177482049486672,1.0,-0.15517555319266987,0.2286685878909168,0.5848833588129521,0.10612096084720188,0.2028925646345284,0.03510547706871146,0.04485385409430027,0.16259945354166977,0.173079328273043,-0.06925155448642502,0.18307105614695268,,-0.10225029982767661,-0.07461098229694939,-0.1016052187717464,,0.36222700970925703,0.14714409870317322,0.16901776588369108,,,0.0252287041771116,0.2228930939014829,-0.15251843389611558,-0.04078554392371576,-0.15353500068008097,-0.25330386844180036,0.5082929728270512,0.06509040633318175,-0.137627661406583,-0.15517555319266982,0.03510547706871148,-0.1535350006800809,-0.22272137570521658
Pct_Diabetes,-0.2946473699642602,0.6340598436304342,0.5638446137108584,0.7049754407822849,-0.15517555319266987,1.0,0.5154624637010606,-0.02480058503352079,0.5801882263684934,0.4708035947718162,-0.8446807941778012,0.7008954037025065,-0.394057707095261,0.23739277123904856,-0.7632275504681331,-0.5762984121905715,,0.6744347004310774,0.23004622558795745,0.6586944725590116,,0.5737126963571266,-0.0627083307496288,0.512365700991964,,,0.619019394009328,-0.664344792598648,0.40919557146772745,-0.18641102691104994,-0.19988715178828556,0.21304583066876534,0.25476329119347313,0.8232118424763433,0.9006314444771195,1.0000000000000002,-0.8446807941778015,-0.19988715178828564,0.10224225842413219
Pct_COPD,-0.0956829191028801,0.8551920003682737,0.885700251719549,0.7162234941147099,0.2286685878909168,0.5154624637010606,1.0,0.5705774759323401,0.7271843720247758,0.8863462834301671,-0.6977511735018532,0.5799683314939692,-0.5946438761577127,0.18170119041926416,-0.35157110699113836,-0.45263187567777646,,0.5800802196284189,0.40401969273912386,0.26353949070622434,,0.9375653169593297,-0.49775536803653964,0.09063664906688253,,,0.6318101348830784,-0.03610017878326602,0.23597166490764376,-0.2885876683570535,-0.30737784107652755,0.006927051402848041,0.31904580152968853,0.9030938005935321,0.7545840016171983,0.5154624637010604,-0.6977511735018532,-0.30737784107652755,-0.3881830909724502
Pct_Depression,0.09812954202198086,0.3912136272660124,0.4616109132847776,0.24990884184976075,0.5848833588129521,-0.02480058503352079,0.5705774759323401,1.0,0.33734623926626006,0.498977303309062,-0.12056178383374888,-0.03501673339684628,-0.3531063093050367,0.20604095598536842,0.08449153015380399,-0.12506338034338238,,0.25247137745756526,-0.035860586087326805,-0.3269448675434419,,0.6732745875915354,-0.49806826046114683,-0.1502338872650749,,,0.39740609908447866,0.21644512931709625,0.030198740167608987,-0.1626765671688703,-0.17841859255381476,-0.02631343691501522,0.4413222472500662,0.3669209296559934,0.22233042928679433,-0.024800585033520825,-0.12056178383374867,-0.1784185925538147,-0.3111857307479498
Pct_KidneyDisease,0.020107854366070245,0.764566882369315,0.7469116873023738,0.6075921165692088,0.10612096084720188,0.5801882263684934,0.7271843720247758,0.33734623926626006,1.0,0.6605515068871617,-0.5631194931921851,0.6443716093756501,-0.5275516366184444,0.02554359592089491,-0.2987036356607586,-0.29272931199653784,,0.37657477454456106,0.3789012650574958,0.24624516901608018,,0.75492372262817,-0.15291045714541857,0.03157538133210007,,,0.44735436079654356,-0.23727870268481419,0.35809275715458,-0.0601647484130399,-0.10872319415957218,0.1602903813106946,0.37468971261818396,0.7400769458303684,0.7390239254825223,0.5801882263684934,-0.5631194931921852,-0.10872319415957223,-0.05481811556746527
Pct_Arthritis,-0.027217629508428563,0.8436773604297623,0.8590023620190191,0.7155364135930887,0.2028925646345284,0.4708035947718162,0.8863462834301671,0.498977303309062,0.6605515068871617,1.0,-0.7367975843861584,0.6317166663686279,-0.3740347728291999,0.14898060681799669,-0.23627299274632127,-0.3992295018565614,,0.47518060134592505,0.6925958925134678,0.28216168471713887,,0.9216729248458203,-0.3387206969347593,0.07879332744152932,,,0.45399970363231507,0.11994482117141123,0.09448905313996839,-0.19847572258515303,-0.333453094384149,-0.15513588144281615,0.19754372973345413,0.7360350183237203,0.6469206228674351,0.47080359477181616,-0.7367975843861585,-0.333453094384149,-0.4741643362575323
Pct_HighBP,0.25012905659204837,-0.7524394722343342,-0.6649934066030445,-0.8011408808148545,0.03510547706871146,-0.8446807941778012,-0.6977511735018532,-0.12056178383374888,-0.5631194931921851,-0.7367975843861584,1.0,-0.8223912479032135,0.33516665954346114,-0.17420947850542212,0.6425795716161393,0.5928198054380348,,-0.6767788522619363,-0.5023958495947956,-0.5832493841043576,,-0.7316697607691579,0.2075232371306717,-0.4227453883540829,,,-0.6135313180750107,0.30120057065912875,-0.3254054115483364,0.25531357043988584,0.30306166109797594,-0.10859328686217101,-0.2152592287331807,-0.8311940465046865,-0.856400830248966,-0.844680794177801,0.9999999999999998,0.303061661097976,0.2871712409765066
Pct_HighChol,-0.11872985403638399,0.6867718382387896,0.5468881081243646,0.5980493842174887,0.04485385409430027,0.7008954037025065,0.5799683314939692,-0.03501673339684628,0.6443716093756501,0.6317166663686279,-0.8223912479032135,1.0,-0.272431439793714,-0.004385404131033189,-0.5338250401396467,-0.36200801619983974,,0.39687814085873724,0.5308960579505362,0.5002017908745041,,0.6025293485184918,0.14230070016848634,0.31140215703481455,,,0.3680368365176507,-0.2252663329529165,0.34643208639034884,-0.056713139310114936,-0.23838068336350177,0.07135492498770575,0.29687236238783765,0.716552953994845,0.7327305865944452,0.7008954037025064,-0.822391247903214,-0.2383806833635018,-0.21289951646425684
Pct_Smoker,0.09207858822506892,-0.5543722443664737,-0.588812559572944,-0.5209097150446831,0.16259945354166977,-0.394057707095261,-0.5946438761577127,-0.3531063093050367,-0.5275516366184444,-0.3740347728291999,0.33516665954346114,-0.272431439793714,1.0,0.22118897478467162,0.1711042722426706,0.4169987018180326,,-0.5122768144746166,0.02890609511873834,0.03071895011841953,,-0.5073412488775922,0.7198341859609598,0.3288125588113597,,,-0.5767499608475658,0.2646667828600552,-0.2951305940500797,0.08270658815271507,-0.030931821288282944,-0.26233805410951166,-0.24769949155604046,-0.6540830892646176,-0.6261479476206567,-0.39405770709526045,0.3351666595434607,-0.030931821288282958,-0.0638332328101318
Pct_HeavyDrinker,-0.21469702613864725,0.14020840181915864,0.2148328428106056,0.07469633327752324,0.173079328273043,0.23739277123904856,0.18170119041926416,0.20604095598536842,0.02554359592089491,0.14898060681799669,-0.17420947850542212,-0.004385404131033189,0.22118897478467162,1.0,-0.42914786254072085,-0.18298756994770798,,0.326166913113076,-0.16689069459631548,0.33488586353180233,,0.23082771474573566,0.03219994410258345,0.7111260272225619,,,0.23599047733075862,-0.09487178816756904,-0.11972903786297036,-0.12941075135891722,-0.1404602962833624,-0.05543542494241578,-0.14117628818562672,0.12801227497614925,0.06691075177476465,0.2373927712390489,-0.17420947850542223,-0.14046029628336237,-0.010469343884262494
Pct_PhysicalActivity,0.27388395988787073,-0.49872829180799505,-0.3964385643039172,-0.30481551628783565,-0.06925155448642502,-0.7632275504681331,-0.35157110699113836,0.08449153015380399,-0.2987036356607586,-0.23627299274632127,0.6425795716161393,-0.5338250401396467,0.1711042722426706,-0.42914786254072085,1.0,0.5732161081415595,,-0.6340097358169298,-0.0014468173459822012,-0.7934454326526716,,-0.3761482977983992,-0.06737599338714187,-0.843334064416637,,,-0.5008556385783058,0.49750109075078897,-0.4612654355668784,0.19704264221785178,0.10234143498503696,-0.3208470741821656,-0.2136041940573781,-0.7805092078526922,-0.8316424427044908,-0.7632275504681332,0.6425795716161394,0.10234143498503695,-0.15391183332290606
Pct_Obesity,0.011883061625555105,-0.5090761980928,-0.44963090763501995,-0.36473446536515075,0.18307105614695268,-0.5762984121905715,-0.45263187567777646,-0.12506338034338238,-0.29272931199653784,-0.3992295018565614,0.5928198054380348,-0.36200801619983974,0.4169987018180326,-0.18298756994770798,0.5732161081415595,1.0,,-0.9301500392673023,-0.09371435818849556,-0.48376087624273795,,-0.43264922145938384,0.37852695641983275,-0.3375416808867759,,,-0.6880010943823284,0.17471148045311796,-0.4425412003326896,-0.16428261670008312,-0.23281908865678727,-0.4714377798662753,-0.18479526892461381,-0.5875704631166851,-0.6475730307224563,-0.5762984121905719,0.5928198054380348,-0.23281908865678735,-0.15905681494110768
Pct_AnyHealthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_BMI,-0.12231549839952444,0.5887724297671993,0.5411978123427704,0.5064227710545068,-0.10225029982767661,0.6744347004310774,0.5800802196284189,0.25247137745756526,0.37657477454456106,0.47518060134592505,-0.6767788522619363,0.39687814085873724,-0.5122768144746166,0.326166913113076,-0.6340097358169298,-0.9301500392673023,,1.0,0.02147383651847652,0.44725796293607273,,0.565431721183794,-0.47520296913919113,0.3878795780357057,,,0.8739543489265853,-0.29004881075139316,0.3720962905960727,0.0101061490905456,0.07161556770601175,0.4013435149387801,0.18769940959279252,0.671345861161417,0.6918296399602978,0.6744347004310772,-0.6767788522619363,0.07161556770601174,0.07712683183082109
Avg_Age,0.04335557481250956,0.5078055175320166,0.5160537846221234,0.45984275347423914,-0.07461098229694939,0.23004622558795745,0.40401969273912386,-0.035860586087326805,0.3789012650574958,0.6925958925134678,-0.5023958495947956,0.5308960579505362,0.02890609511873834,-0.16689069459631548,-0.0014468173459822012,-0.09371435818849556,,0.02147383651847652,1.0,0.3035419402224491,,0.446374466110242,0.06907806390290289,-0.03449170276590922,,,-0.080958157747749,0.26477964470254534,-0.08243754207864327,-0.07136026814295626,-0.17762688966301876,-0.29724532386720665,-0.09410071975269282,0.30673243131215555,0.3024453937630363,0.23004622558795731,-0.5023958495947957,-0.1776268896630187,-0.3558500058097337
Avg_TotalUnhealthyDays,-0.2738617108352429,0.4160284956606853,0.3771981388358135,0.27502151583416146,-0.1016052187717464,0.6586944725590116,0.26353949070622434,-0.3269448675434419,0.24624516901608018,0.28216168471713887,-0.5832493841043576,0.5002017908745041,0.03071895011841953,0.33488586353180233,-0.7934454326526716,-0.48376087624273795,,0.44725796293607273,0.3035419402224491,1.0,,0.26130459300565334,0.17603235951313173,0.7343858128689252,,,0.20773843160414773,-0.3240053728291984,0.19063717920666842,-0.1660001541337881,-0.1545080752637808,0.029619713610241568,-0.08928992352470998,0.5313666182244121,0.5706607244812177,0.6586944725590111,-0.5832493841043573,-0.15450807526378074,0.07320393018802195
Avg_SleepHours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_MultiMorbidity_Index,-0.06835744075155846,0.875082908166158,0.8898305995468394,0.7260879250444792,0.36222700970925703,0.5737126963571266,0.9375653169593297,0.6732745875915354,0.75492372262817,0.9216729248458203,-0.7316697607691579,0.6025293485184918,-0.5073412488775922,0.23082771474573566,-0.3761482977983992,-0.43264922145938384,,0.565431721183794,0.446374466110242,0.26130459300565334,,1.0,-0.3965641088491904,0.15902135036019813,,,0.6106626608761633,-0.05866512891516712,0.19221986003438757,-0.2376993773810776,-0.31262076184725757,-0.04051549615015363,0.37321667276849196,0.829183409669506,0.7346047114452549,0.5737126963571266,-0.7316697607691581,-0.3126207618472576,-0.3598324764861329
Avg_CardioRisk_Score,0.10363902297950621,-0.3187276901287195,-0.4518595199294079,-0.4483414560270502,0.14714409870317322,-0.0627083307496288,-0.49775536803653964,-0.49806826046114683,-0.15291045714541857,-0.3387206969347593,0.2075232371306717,0.14230070016848634,0.7198341859609598,0.03219994410258345,-0.06737599338714187,0.37852695641983275,,-0.47520296913919113,0.06907806390290289,0.17603235951313173,,-0.3965641088491904,1.0,0.3513700239247355,,,-0.5187676830290906,-0.08333846359241909,0.00911866229671031,0.2716780524668656,0.057155633565200904,-0.12524422527257315,0.03245892449975442,-0.3488973412033616,-0.2727903754919223,-0.06270833074962859,0.2075232371306714,0.05715563356520093,0.21425235462207476
Avg_LifestyleRisk_Score,-0.24032527354472555,0.2113948123521521,0.1378260977886108,0.052986932082268505,0.16901776588369108,0.512365700991964,0.09063664906688253,-0.1502338872650749,0.03157538133210007,0.07879332744152932,-0.4227453883540829,0.31140215703481455,0.3288125588113597,0.7111260272225619,-0.843334064416637,-0.3375416808867759,,0.3878795780357057,-0.03449170276590922,0.7343858128689252,,0.15902135036019813,0.3513700239247355,1.0,,,0.23120488057859495,-0.3138993924148365,0.2342562273049971,-0.20836957325985772,-0.18489846717924063,0.1425775925900808,0.004461028766798844,0.45854468579211677,0.49777837934191665,0.5123657009919642,-0.42274538835408315,-0.1848984671792406,0.09308472276328528
Avg_HealthcareAccess_Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_HealthyDiet_Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI_Variance,-0.1016019685286891,0.5540438388459632,0.4970686192942637,0.5758932415298585,0.0252287041771116,0.619019394009328,0.6318101348830784,0.39740609908447866,0.44735436079654356,0.45399970363231507,-0.6135313180750107,0.3680368365176507,-0.5767499608475658,0.23599047733075862,-0.5008556385783058,-0.6880010943823284,,0.8739543489265853,-0.080958157747749,0.20773843160414773,,0.6106626608761633,-0.5187676830290906,0.23120488057859495,,,1.0,-0.34144624948606395,0.36628264158417384,-0.09753799050209244,-0.044839276176974176,0.3648640925278162,0.3075979689957981,0.6910722145513352,0.6787926112646507,0.619019394009328,-0.613531318075011,-0.04483927617697418,-0.01895362453644549
Diabetes_HighBP_Correlation,0.32265560527837744,-0.08904645153722378,-0.06541181497212561,-0.3139105833458568,0.2228930939014829,-0.664344792598648,-0.03610017878326602,0.21644512931709625,-0.23727870268481419,0.11994482117141123,0.30120057065912875,-0.2252663329529165,0.2646667828600552,-0.09487178816756904,0.49750109075078897,0.17471148045311796,,-0.29004881075139316,0.26477964470254534,-0.3240053728291984,,-0.05866512891516712,-0.08333846359241909,-0.3138993924148365,,,-0.34144624948606395,1.0,-0.34554372724011756,0.16616448072411916,0.08813123966535036,-0.22658860981491633,-0.2051049732130395,-0.45501238642624847,-0.5231694757522038,-0.6643447925986482,0.3012005706591287,0.08813123966535032,-0.3685134438929312
State_Avg_AQI,-0.05947204438625579,0.2827326788665854,0.04654957172771705,0.19550678493356885,-0.15251843389611558,0.40919557146772745,0.23597166490764376,0.030198740167608987,0.35809275715458,0.09448905313996839,-0.3254054115483364,0.34643208639034884,-0.2951305940500797,-0.11972903786297036,-0.4612654355668784,-0.4425412003326896,,0.3720962905960727,-0.08243754207864327,0.19063717920666842,,0.19221986003438757,0.00911866229671031,0.2342562273049971,,,0.36628264158417384,-0.34554372724011756,1.0,0.24066293124171317,0.3598470933571388,0.8407860039454449,0.7704450011756292,0.6237555014892548,0.7239406882264899,0.4091955714677275,-0.3254054115483362,0.35984709335713877,0.37048177771604535
State_Max_AQI,0.27278732732011585,-0.15894228577660793,-0.24494007026545925,-0.3176927543574723,-0.04078554392371576,-0.18641102691104994,-0.2885876683570535,-0.1626765671688703,-0.0601647484130399,-0.19847572258515303,0.25531357043988584,-0.056713139310114936,0.08270658815271507,-0.12941075135891722,0.19704264221785178,-0.16428261670008312,,0.0101061490905456,-0.07136026814295626,-0.1660001541337881,,-0.2376993773810776,0.2716780524668656,-0.20836957325985772,,,-0.09753799050209244,0.16616448072411916,0.24066293124171317,1.0,0.7546205014457035,0.47003991492898023,0.18125493807160903,-0.1354285683438696,-0.04937174060205158,-0.18641102691104997,0.2553135704398858,0.7546205014457039,0.7090713565164679
State_Unhealthy_Days_Pct,0.1342816836404503,-0.2165622530824738,-0.27037655441905206,-0.3048790763038983,-0.15353500068008097,-0.19988715178828556,-0.30737784107652755,-0.17841859255381476,-0.10872319415957218,-0.333453094384149,0.30306166109797594,-0.23838068336350177,-0.030931821288282944,-0.1404602962833624,0.10234143498503696,-0.23281908865678727,,0.07161556770601175,-0.17762688966301876,-0.1545080752637808,,-0.31262076184725757,0.057155633565200904,-0.18489846717924063,,,-0.044839276176974176,0.08813123966535036,0.3598470933571388,0.7546205014457035,1.0,0.6282943399791506,0.2162569281563159,-0.10339451681852438,-0.006285514563574475,-0.1998871517882856,0.3030616610979761,0.9999999999999994,0.9482447506005135
State_AQI_Severity,-0.03811430851110333,0.05331083675924302,-0.13749662658179754,0.006762012632025488,-0.25330386844180036,0.21304583066876534,0.006927051402848041,-0.02631343691501522,0.1602903813106946,-0.15513588144281615,-0.10859328686217101,0.07135492498770575,-0.26233805410951166,-0.05543542494241578,-0.3208470741821656,-0.4714377798662753,,0.4013435149387801,-0.29724532386720665,0.029619713610241568,,-0.04051549615015363,-0.12524422527257315,0.1425775925900808,,,0.3648640925278162,-0.22658860981491633,0.8407860039454449,0.47003991492898023,0.6282943399791506,1.0,0.5619277955469812,0.3757065933603713,0.5013020506063715,0.2130458306687655,-0.10859328686217087,0.6282943399791506,0.6217075985764904
Asthma_AQI_Interaction,-0.05929724594402205,0.2208849579126411,0.07745289122982535,0.15261715696312153,0.5082929728270512,0.25476329119347313,0.31904580152968853,0.4413222472500662,0.37468971261818396,0.19754372973345413,-0.2152592287331807,0.29687236238783765,-0.24769949155604046,-0.14117628818562672,-0.2136041940573781,-0.18479526892461381,,0.18769940959279252,-0.09410071975269282,-0.08928992352470998,,0.37321667276849196,0.03245892449975442,0.004461028766798844,,,0.3075979689957981,-0.2051049732130395,0.7704450011756292,0.18125493807160903,0.2162569281563159,0.5619277955469812,1.0,0.58697039240425,0.54163496966212,0.2547632911934732,-0.2152592287331809,0.21625692815631595,0.21397531892173813
COPD_AQI_Interaction,-0.2678538528074501,0.8060995051730039,0.7185205455566536,0.7618538868828032,0.06509040633318175,0.8232118424763433,0.9030938005935321,0.3669209296559934,0.7400769458303684,0.7360350183237203,-0.8311940465046865,0.716552953994845,-0.6540830892646176,0.12801227497614925,-0.7805092078526922,-0.5875704631166851,,0.671345861161417,0.30673243131215555,0.5313666182244121,,0.829183409669506,-0.3488973412033616,0.45854468579211677,,,0.6910722145513352,-0.45501238642624847,0.6237555014892548,-0.1354285683438696,-0.10339451681852438,0.3757065933603713,0.58697039240425,1.0,0.9281109719328866,0.8232118424763427,-0.831194046504687,-0.10339451681852445,-0.10835339972328352
Cardio_Environmental_Risk,-0.20900865726022783,0.8087776530890642,0.6529869087877196,0.7773997364109356,-0.137627661406583,0.9006314444771195,0.7545840016171983,0.22233042928679433,0.7390239254825223,0.6469206228674351,-0.856400830248966,0.7327305865944452,-0.6261479476206567,0.06691075177476465,-0.8316424427044908,-0.6475730307224563,,0.6918296399602978,0.3024453937630363,0.5706607244812177,,0.7346047114452549,-0.2727903754919223,0.49777837934191665,,,0.6787926112646507,-0.5231694757522038,0.7239406882264899,-0.04937174060205158,-0.006285514563574475,0.5013020506063715,0.54163496966212,0.9281109719328866,1.0,0.9006314444771195,-0.8564008302489662,-0.0062855145635745385,0.015421065054270282
Pct_Diabetes_norm,-0.29464736996426016,0.6340598436304345,0.5638446137108578,0.704975440782285,-0.15517555319266982,1.0000000000000002,0.5154624637010604,-0.024800585033520825,0.5801882263684934,0.47080359477181616,-0.844680794177801,0.7008954037025064,-0.39405770709526045,0.2373927712390489,-0.7632275504681332,-0.5762984121905719,,0.6744347004310772,0.23004622558795731,0.6586944725590111,,0.5737126963571266,-0.06270833074962859,0.5123657009919642,,,0.619019394009328,-0.6643447925986482,0.4091955714677275,-0.18641102691104997,-0.1998871517882856,0.2130458306687655,0.2547632911934732,0.8232118424763427,0.9006314444771195,1.0,-0.8446807941778012,-0.19988715178828567,0.10224225842413219
Pct_HighBP_norm,0.25012905659204865,-0.7524394722343346,-0.6649934066030446,-0.801140880814855,0.03510547706871148,-0.8446807941778015,-0.6977511735018532,-0.12056178383374867,-0.5631194931921852,-0.7367975843861585,0.9999999999999998,-0.822391247903214,0.3351666595434607,-0.17420947850542223,0.6425795716161394,0.5928198054380348,,-0.6767788522619363,-0.5023958495947957,-0.5832493841043573,,-0.7316697607691581,0.2075232371306714,-0.42274538835408315,,,-0.613531318075011,0.3012005706591287,-0.3254054115483362,0.2553135704398858,0.3030616610979761,-0.10859328686217087,-0.2152592287331809,-0.831194046504687,-0.8564008302489662,-0.8446807941778012,1.0,0.3030616610979761,0.28717124097650654
State_Unhealthy_Days_Pct_norm,0.13428168364045032,-0.2165622530824738,-0.2703765544190521,-0.3048790763038985,-0.1535350006800809,-0.19988715178828564,-0.30737784107652755,-0.1784185925538147,-0.10872319415957223,-0.333453094384149,0.303061661097976,-0.2383806833635018,-0.030931821288282958,-0.14046029628336237,0.10234143498503695,-0.23281908865678735,,0.07161556770601174,-0.1776268896630187,-0.15450807526378074,,-0.3126207618472576,0.05715563356520093,-0.1848984671792406,,,-0.04483927617697418,0.08813123966535032,0.35984709335713877,0.7546205014457039,0.9999999999999994,0.6282943399791506,0.21625692815631595,-0.10339451681852445,-0.0062855145635745385,-0.19988715178828567,0.3030616610979761,1.0,0.9482447506005136
SocioEnvironmental_Vulnerability,-0.01950582332020643,-0.23736331686259374,-0.2687560465769829,-0.2757564111390502,-0.22272137570521658,0.10224225842413219,-0.3881830909724502,-0.3111857307479498,-0.05481811556746527,-0.4741643362575323,0.2871712409765066,-0.21289951646425684,-0.0638332328101318,-0.010469343884262494,-0.15391183332290606,-0.15905681494110768,,0.07712683183082109,-0.3558500058097337,0.07320393018802195,,-0.3598324764861329,0.21425235462207476,0.09308472276328528,,,-0.01895362453644549,-0.3685134438929312,0.37048177771604535,0.7090713565164679,0.9482447506005135,0.6217075985764904,0.21397531892173813,-0.10835339972328352,0.015421065054270282,0.10224225842413219,0.28717124097650654,0.9482447506005136,1.0
